,Angel,Dodger,PETCO,Chase,Minute Maid,Rangers,Coors,Kauffman,Busch,Target,Miller,US Cellular,Wrigley,Great American,Turner,Tropicano,Marlins,Camden,Nationals,PNC,Progressive,Comerica,Rogers,Fenway,Safeco,AT&T,O.co,Citizens,Citi,Yankee
Angel,0,0,110,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,340,-1,-1,-1
Dodger,0,0,110,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,340,-1,-1,-1
PETCO,110,110,0,300,-1,-1,830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chase,-1,-1,300,0,1115,870,580,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Minute Maid,-1,-1,-1,1115,0,230,-1,-1,680,-1,-1,-1,-1,-1,-1,790,965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rangers,-1,-1,-1,870,230,0,650,460,-1,-1,-1,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coors,-1,-1,830,580,-1,650,0,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kauffman,-1,-1,-1,-1,-1,460,560,0,235,-1,-1,415,415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Busch,-1,-1,-1,-1,680,-1,-1,235,0,465,-1,-1,-1,310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Target,1500,1500,-1,-1,-1,-1,-1,-1,465,0,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2070,-1,-1,-1,-1,-1
Miller,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,0,80,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,430,-1,-1,-1,-1,-1,-1,-1
US Cellular,-1,-1,-1,-1,-1,-1,-1,415,-1,-1,80,0,0,250,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1
Wigley,-1,-1,-1,-1,-1,-1,-1,415,-1,-1,80,0,0,250,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1
Great American,-1,-1,-1,-1,-1,-1,-1,-1,310,-1,-1,250,250,0,375,790,-1,-1,-1,260,225,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turner,-1,-1,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,375,0,-1,600,560,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tropicano,-1,-1,-1,-1,790,-1,-1,-1,-1,-1,-1,-1,-1,790,-1,0,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marlins,-1,-1,-1,-1,965,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,210,0,930,930,-1,-1,-1,-1,1255,-1,-1,-1,-1,-1,-1
